Demanda,ID,ID_Curva
coccion_gas_natural_IX,1,0
refrigeracion_IX,1,0
ACS_gas_licuado_IX,1,0
ACS_gas_natural_IX,1,0
iluminacion_IX,1,0
otros_electricos_IX,1,0
calefaccion_biomasa_XIV,1,0
calefaccion_electricidad_XIV,1,0
calefaccion_gas_licuado_XIV,1,0
calefaccion_gas_natural_XIV,1,0
calefaccion_kerosene_XIV,1,0
coccion_electricidad_XIV,1,0
coccion_gas_licuado_XIV,1,0
coccion_gas_natural_XIV,1,0
coccion_biomasa_XIV,1,0
refrigeracion_XIV,1,0
ACS_gas_licuado_XIV,1,0
ACS_gas_natural_XIV,1,0
iluminacion_XIV,1,0
otros_electricos_XIV,1,0
enfriamiento_XIV,1,0
calefaccion_biomasa_X,1,0
calefaccion_electricidad_X,1,0
calefaccion_gas_licuado_X,1,0
calefaccion_gas_natural_X,1,0
calefaccion_kerosene_X,1,0
coccion_electricidad_X,1,0
coccion_gas_licuado_X,1,0
coccion_gas_natural_X,1,0
coccion_biomasa_X,1,0
refrigeracion_X,1,0
ACS_gas_licuado_X,1,0
ACS_gas_natural_X,1,0
iluminacion_X,1,0
otros_electricos_X,1,0
enfriamiento_X,1,0
calefaccion_biomasa_XI,1,0
calefaccion_electricidad_XI,1,0
calefaccion_gas_licuado_XI,1,0
calefaccion_gas_natural_XI,1,0
calefaccion_kerosene_XI,1,0
coccion_electricidad_XI,1,0
coccion_gas_licuado_XI,1,0
coccion_gas_natural_XI,1,0
coccion_biomasa_XI,1,0
refrigeracion_XI,1,0
ACS_gas_licuado_XI,1,0
ACS_gas_natural_XI,1,0
iluminacion_XI,1,0
otros_electricos_XI,1,0
enfriamiento_XI,1,0
calefaccion_biomasa_XII,1,0
calefaccion_electricidad_XII,1,0
calefaccion_gas_licuado_XII,1,0
calefaccion_gas_natural_XII,1,0
calefaccion_kerosene_XII,1,0
coccion_electricidad_XII,1,0
coccion_gas_licuado_XII,1,0
coccion_gas_natural_XII,1,0
coccion_biomasa_XII,1,0
refrigeracion_XII,1,0
ACS_gas_licuado_XII,1,0
ACS_gas_natural_XII,1,0
iluminacion_XII,1,0
otros_electricos_XII,1,0
enfriamiento_XII,1,0
energia_comercial,1,0
energia_publico,1,0
km_recorridos,1,0
km_recorridos_taxi,1,0
km_transantiago,1,0
km_bus,1,0
km_bus_RM,1,0
km_medianos,1,0
km_minibus,1,0
km_camion,1,0
km_tractocamion,1,0
km_moto,1,0
pkm_aereo,1,0
tkm_maritimo,1,0
pkm_ferroviario_urb,1,0
pkm_ferroviario_inter,1,0
tkm_ferroviario,1,0
