ID_flujo,Gas,Factor_emision
1262,N2O,0.418
1268,N2O,0.418
1278,N2O,0.418
1288,N2O,0.418
1294,N2O,0.418
1306,N2O,0.418
1316,N2O,0.418
1322,N2O,0.418
1334,N2O,0.418
1344,N2O,0.418
1350,N2O,0.418
1362,N2O,0.418
1372,N2O,0.418
1378,N2O,0.418
1397,CO2,234722.4
1397,CH4,4.184
1397,N2O,0.418
1416,CO2,234722.4
1416,CH4,4.184
1416,N2O,0.418
16,CO2,0.0
36,CO2,0.0
60,CO2,0.0
16,CH4,0.0
36,CH4,0.0
60,CH4,0.0
16,N2O,0.0
36,N2O,0.0
60,N2O,0.0
83,CO2,0.0
104,CO2,0.0
113,CO2,0.0
132,CO2,0.0
153,CO2,0.0
162,CO2,0.0
181,CO2,0.0
194,CO2,0.0
83,CH4,0.0
104,CH4,0.0
113,CH4,0.0
132,CH4,0.0
153,CH4,0.0
162,CH4,0.0
181,CH4,0.0
194,CH4,0.0
83,N2O,0.0
104,N2O,0.0
113,N2O,0.0
132,N2O,0.0
153,N2O,0.0
162,N2O,0.0
181,N2O,0.0
194,N2O,0.0
300,CO2,0.0
341,CO2,0.0
300,CH4,0.0
341,CH4,0.0
300,N2O,0.0
341,N2O,0.0
460,CO2,0.0
460,CH4,0.0
460,N2O,0.0
520,CO2,0.0
573,CO2,0.0
520,CH4,0.0
573,CH4,0.0
520,N2O,0.0
573,N2O,0.0
602,CO2,0.0
621,CO2,0.0
638,CO2,0.0
655,CO2,0.0
674,CO2,0.0
700,CO2,0.0
717,CO2,0.0
728,CO2,0.0
602,CH4,0.0
621,CH4,0.0
638,CH4,0.0
655,CH4,0.0
674,CH4,0.0
700,CH4,0.0
717,CH4,0.0
728,CH4,0.0
602,N2O,0.0
621,N2O,0.0
638,N2O,0.0
655,N2O,0.0
674,N2O,0.0
700,N2O,0.0
717,N2O,0.0
728,N2O,0.0
761,CO2,0.0
821,CO2,0.0
871,CO2,0.0
761,CH4,0.0
821,CH4,0.0
871,CH4,0.0
761,N2O,0.0
821,N2O,0.0
871,N2O,0.0
937,CO2,0.0
947,CO2,0.0
969,CO2,0.0
999,CO2,0.0
1029,CO2,0.0
1059,CO2,0.0
1089,CO2,0.0
1121,CO2,0.0
1162,CO2,0.0
1172,CO2,0.0
1194,CO2,0.0
1204,CO2,0.0
1222,CO2,0.0
1232,CO2,0.0
1250,CO2,0.0
1274,CO2,0.0
1284,CO2,0.0
1302,CO2,0.0
1312,CO2,0.0
1330,CO2,0.0
1340,CO2,0.0
1358,CO2,0.0
1368,CO2,0.0
937,CH4,0.0
947,CH4,0.0
969,CH4,0.0
999,CH4,0.0
1029,CH4,0.0
1059,CH4,0.0
1089,CH4,0.0
1121,CH4,0.0
1162,CH4,0.0
1172,CH4,0.0
1194,CH4,0.0
1204,CH4,0.0
1222,CH4,0.0
1232,CH4,0.0
1250,CH4,0.0
1274,CH4,0.0
1284,CH4,0.0
1302,CH4,0.0
1312,CH4,0.0
1330,CH4,0.0
1340,CH4,0.0
1358,CH4,0.0
1368,CH4,0.0
937,N2O,0.0
947,N2O,0.0
969,N2O,0.0
999,N2O,0.0
1029,N2O,0.0
1059,N2O,0.0
1089,N2O,0.0
1121,N2O,0.0
1162,N2O,0.0
1172,N2O,0.0
1194,N2O,0.0
1204,N2O,0.0
1222,N2O,0.0
1232,N2O,0.0
1250,N2O,0.0
1274,N2O,0.0
1284,N2O,0.0
1302,N2O,0.0
1312,N2O,0.0
1330,N2O,0.0
1340,N2O,0.0
1358,N2O,0.0
1368,N2O,0.0
1403,CO2,0.0
1403,CH4,0.0
1403,N2O,0.0
1422,CO2,0.0
1422,CH4,0.0
1422,N2O,0.0
19,CO2,310034.4
38,CO2,310034.4
63,CO2,310034.4
19,CH4,12.552
38,CH4,12.552
63,CH4,12.552
19,N2O,2.51
38,N2O,2.51
63,N2O,2.51
91,CO2,310034.4
107,CO2,310034.4
140,CO2,310034.4
91,CH4,12.552
107,CH4,12.552
140,CH4,12.552
91,N2O,2.51
107,N2O,2.51
140,N2O,2.51
215,CO2,310034.4
231,CO2,310034.4
215,CH4,12.552
231,CH4,12.552
215,N2O,2.51
231,N2O,2.51
261,CO2,310034.4
275,CO2,310034.4
261,CH4,12.552
275,CH4,12.552
261,N2O,2.51
275,N2O,2.51
302,CO2,310034.4
312,CO2,310034.4
329,CO2,310034.4
347,CO2,310034.4
368,CO2,310034.4
376,CO2,310034.4
302,CH4,12.552
312,CH4,12.552
329,CH4,12.552
347,CH4,12.552
368,CH4,12.552
376,CH4,12.552
302,N2O,2.51
312,N2O,2.51
329,N2O,2.51
347,N2O,2.51
368,N2O,2.51
376,N2O,2.51
399,CO2,310034.4
413,CO2,310034.4
437,CO2,310034.4
399,CH4,12.552
413,CH4,12.552
437,CH4,12.552
399,N2O,2.51
413,N2O,2.51
437,N2O,2.51
501,CO2,310034.4
515,CO2,310034.4
529,CO2,310034.4
556,CO2,310034.4
568,CO2,310034.4
579,CO2,310034.4
501,CH4,12.552
515,CH4,12.552
529,CH4,12.552
556,CH4,12.552
568,CH4,12.552
579,CH4,12.552
501,N2O,2.51
515,N2O,2.51
529,N2O,2.51
556,N2O,2.51
568,N2O,2.51
579,N2O,2.51
596,CO2,310034.4
614,CO2,310034.4
627,CO2,310034.4
649,CO2,310034.4
667,CO2,310034.4
683,CO2,310034.4
711,CO2,310034.4
725,CO2,310034.4
596,CH4,12.552
614,CH4,12.552
627,CH4,12.552
649,CH4,12.552
667,CH4,12.552
683,CH4,12.552
711,CH4,12.552
725,CH4,12.552
596,N2O,2.51
614,N2O,2.51
627,N2O,2.51
649,N2O,2.51
667,N2O,2.51
683,N2O,2.51
711,N2O,2.51
725,N2O,2.51
757,CO2,310034.4
777,CO2,310034.4
791,CO2,310034.4
797,CO2,310034.4
817,CO2,310034.4
837,CO2,310034.4
842,CO2,310034.4
867,CO2,310034.4
887,CO2,310034.4
901,CO2,310034.4
757,CH4,12.552
777,CH4,12.552
791,CH4,12.552
797,CH4,12.552
817,CH4,12.552
837,CH4,12.552
842,CH4,12.552
867,CH4,12.552
887,CH4,12.552
901,CH4,12.552
757,N2O,2.51
777,N2O,2.51
791,N2O,2.51
797,N2O,2.51
817,N2O,2.51
837,N2O,2.51
842,N2O,2.51
867,N2O,2.51
887,N2O,2.51
901,N2O,2.51
921,CO2,310034.4
921,CH4,12.552
921,N2O,2.51
1399,CO2,310034.4
1399,CH4,12.552
1399,N2O,2.51
1418,CO2,310034.4
1418,CH4,12.552
1418,N2O,2.51
1426,CO2,310034.4
1430,CO2,310034.4
1434,CO2,310034.4
1438,CO2,310034.4
1442,CO2,310034.4
1446,CO2,310034.4
1450,CO2,310034.4
1454,CO2,310034.4
1458,CO2,310034.4
1462,CO2,310034.4
1466,CO2,310034.4
1470,CO2,310034.4
1474,CO2,310034.4
1478,CO2,310034.4
1482,CO2,310034.4
1486,CO2,310034.4
1490,CO2,310034.4
1494,CO2,310034.4
1498,CO2,310034.4
1502,CO2,310034.4
1506,CO2,310034.4
1510,CO2,310034.4
1512,CO2,310034.4
1516,CO2,310034.4
1518,CO2,310034.4
1524,CO2,310034.4
1526,CO2,310034.4
1532,CO2,310034.4
1534,CO2,310034.4
1540,CO2,310034.4
1542,CO2,310034.4
1548,CO2,310034.4
1550,CO2,310034.4
1556,CO2,310034.4
1560,CO2,310034.4
1564,CO2,310034.4
1568,CO2,310034.4
1572,CO2,310034.4
1576,CO2,310034.4
1580,CO2,310034.4
1584,CO2,310034.4
1588,CO2,310034.4
1592,CO2,310034.4
1596,CO2,310034.4
1600,CO2,310034.4
1604,CO2,310034.4
1608,CO2,310034.4
1612,CO2,310034.4
1616,CO2,310034.4
1620,CO2,310034.4
1624,CO2,310034.4
1628,CO2,310034.4
1632,CO2,310034.4
1636,CO2,310034.4
1640,CO2,310034.4
1644,CO2,310034.4
1648,CO2,310034.4
1652,CO2,310034.4
1656,CO2,310034.4
1660,CO2,310034.4
1664,CO2,310034.4
1666,CO2,310034.4
1670,CO2,310034.4
1672,CO2,310034.4
1676,CO2,310034.4
1678,CO2,310034.4
1682,CO2,310034.4
1684,CO2,310034.4
1690,CO2,310034.4
1694,CO2,310034.4
1698,CO2,310034.4
1702,CO2,310034.4
1706,CO2,310034.4
1708,CO2,310034.4
1716,CO2,310034.4
1718,CO2,310034.4
1724,CO2,310034.4
1726,CO2,310034.4
1740,CO2,310034.4
1742,CO2,310034.4
1746,CO2,310034.4
1748,CO2,310034.4
1756,CO2,310034.4
1758,CO2,310034.4
1766,CO2,310034.4
1768,CO2,310034.4
1776,CO2,310034.4
1778,CO2,310034.4
1786,CO2,310034.4
1794,CO2,310034.4
1802,CO2,310034.4
1804,CO2,310034.4
1812,CO2,310034.4
1814,CO2,310034.4
1426,CH4,12.552
1430,CH4,12.552
1434,CH4,12.552
1438,CH4,12.552
1442,CH4,12.552
1446,CH4,12.552
1450,CH4,12.552
1454,CH4,12.552
1458,CH4,12.552
1462,CH4,12.552
1466,CH4,12.552
1470,CH4,12.552
1474,CH4,12.552
1478,CH4,12.552
1482,CH4,12.552
1486,CH4,12.552
1490,CH4,12.552
1494,CH4,12.552
1498,CH4,12.552
1502,CH4,12.552
1506,CH4,12.552
1510,CH4,12.552
1512,CH4,12.552
1516,CH4,12.552
1518,CH4,12.552
1524,CH4,12.552
1526,CH4,12.552
1532,CH4,12.552
1534,CH4,12.552
1540,CH4,12.552
1542,CH4,12.552
1548,CH4,12.552
1550,CH4,12.552
1556,CH4,12.552
1560,CH4,12.552
1564,CH4,12.552
1568,CH4,12.552
1572,CH4,12.552
1576,CH4,12.552
1580,CH4,12.552
1584,CH4,12.552
1588,CH4,12.552
1592,CH4,12.552
1596,CH4,12.552
1600,CH4,12.552
1604,CH4,12.552
1608,CH4,12.552
1612,CH4,12.552
1616,CH4,12.552
1620,CH4,12.552
1624,CH4,12.552
1628,CH4,12.552
1632,CH4,12.552
1636,CH4,12.552
1640,CH4,12.552
1644,CH4,12.552
1648,CH4,12.552
1652,CH4,12.552
1656,CH4,12.552
1660,CH4,12.552
1664,CH4,12.552
1666,CH4,12.552
1670,CH4,12.552
1672,CH4,12.552
1676,CH4,12.552
1678,CH4,12.552
1682,CH4,12.552
1684,CH4,12.552
1690,CH4,12.552
1694,CH4,12.552
1698,CH4,12.552
1702,CH4,12.552
1706,CH4,12.552
1708,CH4,12.552
1716,CH4,12.552
1718,CH4,12.552
1724,CH4,12.552
1726,CH4,12.552
1740,CH4,12.552
1742,CH4,12.552
1746,CH4,12.552
1748,CH4,12.552
1756,CH4,12.552
1758,CH4,12.552
1766,CH4,12.552
1768,CH4,12.552
1776,CH4,12.552
1778,CH4,12.552
1786,CH4,12.552
1794,CH4,12.552
1802,CH4,12.552
1804,CH4,12.552
1812,CH4,12.552
1814,CH4,12.552
1426,N2O,2.51
1430,N2O,2.51
1434,N2O,2.51
1438,N2O,2.51
1442,N2O,2.51
1446,N2O,2.51
1450,N2O,2.51
1454,N2O,2.51
1458,N2O,2.51
1462,N2O,2.51
1466,N2O,2.51
1470,N2O,2.51
1474,N2O,2.51
1478,N2O,2.51
1482,N2O,2.51
1486,N2O,2.51
1490,N2O,2.51
1494,N2O,2.51
1498,N2O,2.51
1502,N2O,2.51
1506,N2O,2.51
1510,N2O,2.51
1512,N2O,2.51
1516,N2O,2.51
1518,N2O,2.51
1524,N2O,2.51
1526,N2O,2.51
1532,N2O,2.51
1534,N2O,2.51
1540,N2O,2.51
1542,N2O,2.51
1548,N2O,2.51
1550,N2O,2.51
1556,N2O,2.51
1560,N2O,2.51
1564,N2O,2.51
1568,N2O,2.51
1572,N2O,2.51
1576,N2O,2.51
1580,N2O,2.51
1584,N2O,2.51
1588,N2O,2.51
1592,N2O,2.51
1596,N2O,2.51
1600,N2O,2.51
1604,N2O,2.51
1608,N2O,2.51
1612,N2O,2.51
1616,N2O,2.51
1620,N2O,2.51
1624,N2O,2.51
1628,N2O,2.51
1632,N2O,2.51
1636,N2O,2.51
1640,N2O,2.51
1644,N2O,2.51
1648,N2O,2.51
1652,N2O,2.51
1656,N2O,2.51
1660,N2O,2.51
1664,N2O,2.51
1666,N2O,2.51
1670,N2O,2.51
1672,N2O,2.51
1676,N2O,2.51
1678,N2O,2.51
1682,N2O,2.51
1684,N2O,2.51
1690,N2O,2.51
1694,N2O,2.51
1698,N2O,2.51
1702,N2O,2.51
1706,N2O,2.51
1708,N2O,2.51
1716,N2O,2.51
1718,N2O,2.51
1724,N2O,2.51
1726,N2O,2.51
1740,N2O,2.51
1742,N2O,2.51
1746,N2O,2.51
1748,N2O,2.51
1756,N2O,2.51
1758,N2O,2.51
1766,N2O,2.51
1768,N2O,2.51
1776,N2O,2.51
1778,N2O,2.51
1786,N2O,2.51
1794,N2O,2.51
1802,N2O,2.51
1804,N2O,2.51
1812,N2O,2.51
1814,N2O,2.51
1822,CO2,310034.4
1824,CO2,310034.4
1832,CO2,310034.4
1834,CO2,310034.4
1842,CO2,310034.4
1844,CO2,310034.4
1852,CO2,310034.4
1854,CO2,310034.4
1870,CO2,310034.4
1822,CH4,12.552
1824,CH4,12.552
1832,CH4,12.552
1834,CH4,12.552
1842,CH4,12.552
1844,CH4,12.552
1852,CH4,12.552
1854,CH4,12.552
1870,CH4,12.552
1822,N2O,2.51
1824,N2O,2.51
1832,N2O,2.51
1834,N2O,2.51
1842,N2O,2.51
1844,N2O,2.51
1852,N2O,2.51
1854,N2O,2.51
1870,N2O,2.51
1868,CO2,310034.4
1868,CH4,12.552
1868,N2O,2.51
22,CO2,0.0
66,CO2,0.0
22,CH4,0.0
66,CH4,0.0
22,N2O,0.0
66,N2O,0.0
116,CO2,0.0
165,CO2,0.0
200,CO2,0.0
116,CH4,0.0
165,CH4,0.0
200,CH4,0.0
116,N2O,0.0
165,N2O,0.0
200,N2O,0.0
292,CO2,0.0
357,CO2,0.0
386,CO2,0.0
292,CH4,0.0
357,CH4,0.0
386,CH4,0.0
292,N2O,0.0
357,N2O,0.0
386,N2O,0.0
538,CO2,0.0
585,CO2,0.0
538,CH4,0.0
585,CH4,0.0
538,N2O,0.0
585,N2O,0.0
630,CO2,0.0
692,CO2,0.0
740,CO2,0.0
630,CH4,0.0
692,CH4,0.0
740,CH4,0.0
630,N2O,0.0
692,N2O,0.0
740,N2O,0.0
803,CO2,0.0
851,CO2,0.0
904,CO2,0.0
803,CH4,0.0
851,CH4,0.0
904,CH4,0.0
803,N2O,0.0
851,N2O,0.0
904,N2O,0.0
967,CO2,0.0
997,CO2,0.0
1027,CO2,0.0
1057,CO2,0.0
1087,CO2,0.0
1119,CO2,0.0
1160,CO2,0.0
1192,CO2,0.0
967,CH4,0.0
997,CH4,0.0
1027,CH4,0.0
1057,CH4,0.0
1087,CH4,0.0
1119,CH4,0.0
1160,CH4,0.0
1192,CH4,0.0
967,N2O,0.0
997,N2O,0.0
1027,N2O,0.0
1057,N2O,0.0
1087,N2O,0.0
1119,N2O,0.0
1160,N2O,0.0
1192,N2O,0.0
24,CO2,310034.4
24,CH4,12.552
24,N2O,2.51
85,CO2,310034.4
110,CO2,310034.4
134,CO2,310034.4
156,CO2,310034.4
203,CO2,310034.4
85,CH4,12.552
110,CH4,12.552
134,CH4,12.552
156,CH4,12.552
203,CH4,12.552
85,N2O,2.51
110,N2O,2.51
134,N2O,2.51
156,N2O,2.51
203,N2O,2.51
217,CO2,310034.4
217,CH4,12.552
217,N2O,2.51
304,CO2,310034.4
331,CO2,310034.4
354,CO2,310034.4
370,CO2,310034.4
383,CO2,310034.4
304,CH4,12.552
331,CH4,12.552
354,CH4,12.552
370,CH4,12.552
383,CH4,12.552
304,N2O,2.51
331,N2O,2.51
354,N2O,2.51
370,N2O,2.51
383,N2O,2.51
499,CO2,310034.4
532,CO2,310034.4
554,CO2,310034.4
582,CO2,310034.4
499,CH4,12.552
532,CH4,12.552
554,CH4,12.552
582,CH4,12.552
499,N2O,2.51
532,N2O,2.51
554,N2O,2.51
582,N2O,2.51
686,CO2,310034.4
737,CO2,310034.4
686,CH4,12.552
737,CH4,12.552
686,N2O,2.51
737,N2O,2.51
763,CO2,310034.4
794,CO2,310034.4
823,CO2,310034.4
873,CO2,310034.4
907,CO2,310034.4
763,CH4,12.552
794,CH4,12.552
823,CH4,12.552
873,CH4,12.552
907,CH4,12.552
763,N2O,2.51
794,N2O,2.51
823,N2O,2.51
873,N2O,2.51
907,N2O,2.51
923,CO2,310034.4
923,CH4,12.552
923,N2O,2.51
1860,CO2,310034.4
1860,CH4,12.552
1860,N2O,2.51
26,CO2,447688.0
26,CH4,4.184
26,N2O,6.276
606,CO2,447688.0
659,CO2,447688.0
606,CH4,4.184
659,CH4,4.184
606,N2O,6.276
659,N2O,6.276
767,CO2,447688.0
827,CO2,447688.0
877,CO2,447688.0
767,CH4,4.184
827,CH4,4.184
877,CH4,4.184
767,N2O,6.276
827,N2O,6.276
877,N2O,6.276
28,CO2,264010.4
28,CH4,4.184
28,N2O,0.418
93,CO2,264010.4
142,CO2,264010.4
93,CH4,4.184
142,CH4,4.184
93,N2O,0.418
142,N2O,0.418
219,CO2,264010.4
219,CH4,4.184
219,N2O,0.418
306,CO2,264010.4
333,CO2,264010.4
306,CH4,4.184
333,CH4,4.184
306,N2O,0.418
333,N2O,0.418
397,CO2,264010.4
397,CH4,4.184
397,N2O,0.418
523,CO2,264010.4
523,CH4,4.184
523,N2O,0.418
600,CO2,264010.4
653,CO2,264010.4
677,CO2,264010.4
715,CO2,264010.4
731,CO2,264010.4
600,CH4,4.184
653,CH4,4.184
677,CH4,4.184
715,CH4,4.184
731,CH4,4.184
600,N2O,0.418
653,N2O,0.418
677,N2O,0.418
715,N2O,0.418
731,N2O,0.418
785,CO2,264010.4
879,CO2,264010.4
895,CO2,264010.4
785,CH4,4.184
879,CH4,4.184
895,CH4,4.184
785,N2O,0.418
879,N2O,0.418
895,N2O,0.418
925,CO2,264010.4
925,CH4,4.184
925,N2O,0.418
939,CO2,264010.4
949,CO2,264010.4
955,CO2,264010.4
971,CO2,264010.4
979,CO2,264010.4
985,CO2,264010.4
1001,CO2,264010.4
1009,CO2,264010.4
1015,CO2,264010.4
1031,CO2,264010.4
1039,CO2,264010.4
1045,CO2,264010.4
1061,CO2,264010.4
1069,CO2,264010.4
1075,CO2,264010.4
1091,CO2,264010.4
1101,CO2,264010.4
1107,CO2,264010.4
1125,CO2,264010.4
1130,CO2,264010.4
1140,CO2,264010.4
1148,CO2,264010.4
1164,CO2,264010.4
1174,CO2,264010.4
1180,CO2,264010.4
1196,CO2,264010.4
1206,CO2,264010.4
1212,CO2,264010.4
1224,CO2,264010.4
1234,CO2,264010.4
1240,CO2,264010.4
1252,CO2,264010.4
1260,CO2,264010.4
1266,CO2,264010.4
1276,CO2,264010.4
1286,CO2,264010.4
1292,CO2,264010.4
1304,CO2,264010.4
1314,CO2,264010.4
1320,CO2,264010.4
1332,CO2,264010.4
1342,CO2,264010.4
1348,CO2,264010.4
1360,CO2,264010.4
1370,CO2,264010.4
1376,CO2,264010.4
939,CH4,4.184
949,CH4,4.184
955,CH4,4.184
971,CH4,4.184
979,CH4,4.184
985,CH4,4.184
1001,CH4,4.184
1009,CH4,4.184
1015,CH4,4.184
1031,CH4,4.184
1039,CH4,4.184
1045,CH4,4.184
1061,CH4,4.184
1069,CH4,4.184
1075,CH4,4.184
1091,CH4,4.184
1101,CH4,4.184
1107,CH4,4.184
1125,CH4,4.184
1130,CH4,4.184
1140,CH4,4.184
1148,CH4,4.184
1164,CH4,4.184
1174,CH4,4.184
1180,CH4,4.184
1196,CH4,4.184
1206,CH4,4.184
1212,CH4,4.184
1224,CH4,4.184
1234,CH4,4.184
1240,CH4,4.184
1252,CH4,4.184
1260,CH4,4.184
1266,CH4,4.184
1276,CH4,4.184
1286,CH4,4.184
1292,CH4,4.184
1304,CH4,4.184
1314,CH4,4.184
1320,CH4,4.184
1332,CH4,4.184
1342,CH4,4.184
1348,CH4,4.184
1360,CH4,4.184
1370,CH4,4.184
1376,CH4,4.184
939,N2O,0.418
949,N2O,0.418
955,N2O,0.418
971,N2O,0.418
979,N2O,0.418
985,N2O,0.418
1001,N2O,0.418
1009,N2O,0.418
1015,N2O,0.418
1031,N2O,0.418
1039,N2O,0.418
1045,N2O,0.418
1061,N2O,0.418
1069,N2O,0.418
1075,N2O,0.418
1091,N2O,0.418
1101,N2O,0.418
1107,N2O,0.418
1125,N2O,0.418
1130,N2O,0.418
1140,N2O,0.418
1148,N2O,0.418
1164,N2O,0.418
1174,N2O,0.418
1180,N2O,0.418
1196,N2O,0.418
1206,N2O,0.418
1212,N2O,0.418
1224,N2O,0.418
1234,N2O,0.418
1240,N2O,0.418
1252,N2O,0.418
1260,N2O,0.418
1266,N2O,0.418
1276,N2O,0.418
1286,N2O,0.418
1292,N2O,0.418
