future_id,lever_group_1,lever_group_2,lever_group_3,lever_group_4,lever_group_5,lever_group_6,lever_group_7,lever_group_8,lever_group_9,lever_group_10,lever_group_11
37,0.938276116,0.600819477,0.75323652,0.661370549,0.015921432,0.183328553,0.797811467,0.16544703,0.839774867,0.815980973,0.338910556
38,0.530903803,0.187445306,0.076888217,0.909160422,0.504788517,0.332746841,0.624403154,0.379279761,0.263563938,0.945886111,0.479881413
39,0.666225122,0.72378382,0.111796299,0.191962695,0.904026688,0.310294467,0.541904186,0.820088411,0.00195844,0.533115898,0.902835361
40,0.420222606,0.17777999,0.998891276,0.432282424,0.346143418,0.548007604,0.619850499,0.141690386,0.126447209,0.428777312,0.86277116
41,0.119515023,0.221025656,0.307436738,0.620605328,0.761137037,0.061748091,0.116480028,0.466669514,0.639043196,0.903236242,0.715006537
42,0.216361013,0.415564413,0.419320075,0.646435715,0.717509742,0.569167138,0.817216359,0.752885923,0.618908936,0.408309269,0.323340344
43,0.386653057,0.997750328,0.949451126,0.585776675,0.951983566,0.763115884,0.343807446,0.813361064,0.770333829,0.033671796,0.890883635
44,0.163144032,0.746023859,0.666211028,0.229493427,0.47509012,0.785157761,0.908325311,0.048437588,0.293296724,0.30889996,0.672797044
45,0.329691531,0.005258372,0.380616761,0.692428633,0.103085243,0.385459114,0.075499656,0.193675798,0.344475961,0.967867547,0.563175983
46,0.65471169,0.2063703,0.845135147,0.88454248,0.814689254,0.170571322,0.032883262,0.350107969,0.571235337,0.281795898,0.683466914
47,0.625346726,0.571281974,0.186255565,0.022727664,0.085408707,0.121812377,0.123967391,0.178332327,0.144905503,0.980584408,0.038735882
48,0.319028716,0.218531416,0.55143737,0.552328159,0.970248194,0.806339836,0.314426283,0.334964038,0.719913114,0.161196797,0.386522297
49,0.823484994,0.465171503,0.08545625,0.41604623,0.06523662,0.65925148,0.654801385,0.222941646,0.327846021,0.235366798,0.722495946
50,0.978488917,0.799352176,0.628292798,0.715158391,0.896884315,0.753089163,0.735792788,0.312791372,0.447933135,0.831949007,0.012443742
51,0.444459941,0.639160468,0.657019044,0.780526986,0.198749088,0.075980069,0.722286405,0.917574982,0.737457866,0.705124519,0.438802125
52,0.123969405,0.890517986,0.262401219,0.067985998,0.520830111,0.291745166,0.273886362,0.576123367,0.180849309,0.140389355,0.813694882
53,0.299170536,0.337246734,0.018774454,0.408736086,0.8232027,0.669605059,0.173485448,0.240842533,0.508282272,0.328894743,0.750014431
54,0.138566773,0.81946667,0.105186976,0.872150586,0.154022737,0.871796577,0.047921602,0.804630966,0.052414532,0.043300473,0.022923016
55,0.335545645,0.167411354,0.22762072,0.08542784,0.685455322,0.00959847,0.159133871,0.606708087,0.56242853,0.548389508,0.08106482
56,0.674622831,0.705162554,0.049007358,0.002971575,0.790318565,0.615640989,0.888418773,0.025294252,0.8990118,0.203044416,0.823319871
57,0.030084108,0.584863754,0.443088758,0.92776883,0.645166525,0.964099854,0.849226048,0.030391176,0.703704047,0.643242193,0.230171843
58,0.735668673,0.372143696,0.455609211,0.776637273,0.916453211,0.920025051,0.432033702,0.738429041,0.194498895,0.369102076,0.650489723
59,0.993537178,0.751774221,0.276391616,0.245082438,0.338286312,0.747011196,0.134106058,0.44778011,0.354898968,0.299984859,0.22747551
60,0.866768375,0.677918394,0.774805388,0.736853458,0.634716111,0.631302918,0.233481162,0.52155275,0.276183116,0.184792541,0.583995323
61,0.928791272,0.190924341,0.025960919,0.792811597,0.321271947,0.416950959,0.017212884,0.007912482,0.743288495,0.434022726,0.97525466
62,0.694678155,0.979330492,0.201866571,0.078848958,0.418163796,0.263205589,0.973065703,0.666863887,0.580323264,0.353341528,0.243403936
63,0.796527775,0.059906509,0.287379086,0.837015991,0.123475026,0.505342727,0.213248396,0.77495567,0.397177672,0.653717565,0.884813815
64,0.595417785,0.864553748,0.343396952,0.893383207,0.888517997,0.322107684,0.9367275,0.281127266,0.023414636,0.76535253,0.483681321
65,0.098193616,0.780666409,0.325773106,0.529526284,0.208334238,0.372983249,0.002849073,0.789498177,0.486092159,0.523087017,0.541557549
66,0.271220858,0.859483738,0.435934702,0.421454244,0.982561534,0.488278959,0.760795205,0.513663296,0.90622727,0.082310949,0.637891272
67,0.439537572,0.820433503,0.339402669,0.476946836,0.583534874,0.995549036,0.302309997,0.361103734,0.207307718,0.067341997,0.054519274
68,0.176513768,0.245409486,0.149062082,0.367784112,0.595343574,0.570285344,0.869901953,0.128295747,0.985371838,0.572426241,0.270861741
69,0.266574333,0.43642811,0.721789652,0.055804453,0.297215862,0.287356743,0.405937083,0.645706345,0.789989075,0.699826827,0.912445527
70,0.90316145,0.517382222,0.355483674,0.508946798,0.368519311,0.460308506,0.222104668,0.017373717,0.418788851,0.157313717,0.45218099
71,0.415657705,0.625700355,0.297711441,0.142533806,0.728524525,0.141659708,0.560836673,0.545663506,0.994641356,0.46040142,0.201403306
72,0.309163134,0.308679576,0.151680584,0.70999701,0.115447121,0.49644808,0.577455876,0.323337575,0.364412316,0.934565563,0.103315865
73,0.605730438,0.830914939,0.162978245,0.61519887,0.376975719,0.918585347,0.539699221,0.559410955,0.373113697,0.026092257,0.409403098
74,0.068736504,0.017119032,0.783311227,0.126074052,0.708549944,0.859954138,0.410337507,0.080535883,0.521331994,0.194645937,0.254899602
75,0.589116175,0.80769267,0.192511338,0.315337422,0.168560021,0.607353172,0.059547938,0.388231529,0.097342942,0.959724511,0.843358006
76,0.367066479,0.152641427,0.856112505,0.813793738,0.921945231,0.531818482,0.969399,0.727685027,0.466029599,0.732435277,0.806745725
77,0.195529095,0.690519833,0.817435655,0.460203964,0.308979456,0.276708425,0.8588328,0.830076675,0.858609849,0.994634398,0.139088341
78,0.159520179,0.077089236,0.70612411,0.651251482,0.044530165,0.01517412,0.099583558,0.699369758,0.118074515,0.015203861,0.392560948
79,0.341242116,0.233918674,0.586853325,0.37528515,0.003771678,0.092992177,0.290390094,0.683473803,0.922440037,0.387190133,0.496307501
80,0.014479704,0.879290507,0.809710847,0.576037329,0.536645984,0.518272166,0.147947992,0.704737017,0.455801975,0.139863887,0.0781333
81,0.35011524,0.558239214,0.689051025,0.264830886,0.425693592,0.823754232,0.703247954,0.297516561,0.1630405,0.970377065,0.426609499
82,0.647781819,0.527022739,0.539398991,0.153961431,0.994299388,0.862569014,0.911461285,0.093226237,0.405069429,0.055644279,0.7335428
83,0.830576586,0.545924308,0.57676199,0.395792762,0.236664429,0.036854435,0.069278191,0.671987358,0.803250928,0.67071556,0.923428762
84,0.108562884,0.944102266,0.921793324,0.097873343,0.615242215,0.213459512,0.664580737,0.793126899,0.088796286,0.176754943,0.092276755
85,0.84699667,0.043273445,0.639074631,0.171916967,0.839472931,0.793606407,0.633842868,0.626734778,0.644705454,0.256009898,0.511617926
86,0.949368845,0.912658231,0.797995907,0.250985664,0.447380364,0.977934412,0.202985252,0.90892463,0.629593552,0.7193533,0.625601385
87,0.460119532,0.849594976,0.672768143,0.723935152,0.966604673,0.368798275,0.771351779,0.501684531,0.878624348,0.11623588,0.341152606
88,0.021163909,0.407134607,0.643925483,0.389786798,0.217487157,0.19089101,0.382072631,0.266260198,0.689671508,0.866524388,0.614374069
89,0.456751274,0.768543231,0.979911523,0.750607201,0.947082386,0.731455066,0.257319378,0.137878289,0.948280306,0.342721571,0.315678352
90,0.508619394,0.35047167,0.718084435,0.13713412,0.14417778,0.348309695,0.503152003,0.473615687,0.819845845,0.604321909,0.182463729
91,0.514386026,0.128895331,0.765926159,0.748440109,0.809192879,0.950358736,0.165923265,0.982439637,0.887611376,0.750189325,0.26633104
92,0.255300464,0.505175755,0.469777478,0.760101767,0.244018206,0.25162289,0.260959989,0.395357976,0.690827784,0.105126958,0.155827006
93,0.7653222,0.117412417,0.617532613,0.854340431,0.571813035,0.703143463,0.364153491,0.927065834,0.220835786,0.224243515,0.766841793
94,0.809222677,0.262267416,0.984296407,0.635248801,0.026653732,0.721672664,0.551176187,0.341905171,0.863026966,0.584322359,0.4192437
95,0.56335524,0.254994709,0.173008118,0.168059951,0.45727248,0.20498223,0.807925676,0.189771291,0.547756901,0.338677966,0.198000945
96,0.004493577,0.068205961,0.504374884,0.450459837,0.853067805,0.771343747,0.445617234,0.864549842,0.133638888,0.393694756,0.958101116
97,0.770621178,0.736133978,0.421390263,0.118902208,0.481137412,0.300146095,0.831837934,0.05818779,0.678948123,0.925277543,0.128197224
98,0.403491887,0.935543924,0.860769922,0.483703708,0.252336325,0.906392488,0.74230148,0.858481891,0.016331383,0.669805277,0.603833901
99,0.758492749,0.711281111,0.695014303,0.598165242,0.396097887,0.648270294,0.086714313,0.10612634,0.038615742,0.277348947,0.937764718
100,0.495689741,0.132440258,0.911516047,0.012219254,0.604791841,0.521828329,0.180833627,0.938502754,0.557639411,0.009290351,0.776300107
