field,sector
palm_primary_forest_emissions_c1_gg_co2e,forest
palm_secondary_forest_emissions_c1_gg_co2e,forest
wet_primary_forest_emissions_c1_gg_co2e,forest
wet_secondary_forest_emissions_c1_gg_co2e,forest
total_emissions_c1_gg_co2e,forest
dry_primary_forest_ef_c1_gg_co2e_ha,forest
dry_secondary_forest_ef_c1_gg_co2e_ha,forest
mangroves_primary_forest_ef_c1_gg_co2e_ha,forest
mangroves_secondary_forest_ef_c1_gg_co2e_ha,forest
moist_primary_forest_ef_c1_gg_co2e_ha,forest
moist_secondary_forest_ef_c1_gg_co2e_ha,forest
palm_primary_forest_ef_c1_gg_co2e_ha,forest
palm_secondary_forest_ef_c1_gg_co2e_ha,forest
wet_primary_forest_ef_c1_gg_co2e_ha,forest
wet_secondary_forest_ef_c1_gg_co2e_ha,forest
cal_KT_CO2e,industry
cal_KT_CO2e_per_million_usd,industry
carburo_KT_CO2e,industry
carburo_KT_CO2e_per_million_usd,industry
cemento_KT_CO2e,industry
cemento_KT_CO2e_per_KT_prod,industry
cemento_production_KT,industry
cemento_KT_prod_per_million_usd,industry
industry_at_large_KT_CO2e,industry
industry_at_large_KT_CO2e_per_million_usd,industry
vidrio_KT_CO2e,industry
vidrio_KT_CO2e_per_million_usd,industry
total_KT_CO2e,industry
industry,industry
ind_manufacturing,industry
ind_cement_and_cv,industry
agriculture_df_pj_per_million_gdp,energy
agriculture_frac_electric,energy
agriculture_ef_KT_co2e_per_pj,energy
commercial_df_pj_per_million_gdp,energy
commercial_frac_electric,energy
commercial_ef_KT_co2e_per_pj,energy
industry_df_pj_per_million_gdp,energy
industry_frac_electric,energy
industry_ef_KT_co2e_per_pj,energy
residential_df_pj_per_hh,energy
residential_frac_electric,energy
residential_ef_KT_co2e_per_pj,energy
agriculture,energy
commercial,energy
population,energy
occ_rate,energy
buildings_commercial_gg_co2e,energy
agriculture_energy_input_gg_co2e,energy
industry_energy_input_gg_co2e,energy
buildings_residential_gg_co2e,energy
dual_purpose,livestock
goats,livestock
horses,livestock
meat_cattle,livestock
milk_cattle,livestock
mules,livestock
pigs,livestock
poultry,livestock
sheep,livestock
water_buffalo,livestock
dual_purpose_fermentation_ef_c1_gg_co2e_head,livestock
goats_fermentation_ef_c1_gg_co2e_head,livestock
horses_fermentation_ef_c1_gg_co2e_head,livestock
meat_cattle_fermentation_ef_c1_gg_co2e_head,livestock
milk_cattle_fermentation_ef_c1_gg_co2e_head,livestock
mules_fermentation_ef_c1_gg_co2e_head,livestock
pigs_fermentation_ef_c1_gg_co2e_head,livestock
poultry_fermentation_ef_c1_gg_co2e_head,livestock
sheep_fermentation_ef_c1_gg_co2e_head,livestock
water_buffalo_fermentation_ef_c1_gg_co2e_head,livestock
dual_purpose_manure_ef_c1_gg_co2e_head,livestock
goats_manure_ef_c1_gg_co2e_head,livestock
horses_manure_ef_c1_gg_co2e_head,livestock
meat_cattle_manure_ef_c1_gg_co2e_head,livestock
milk_cattle_manure_ef_c1_gg_co2e_head,livestock
mules_manure_ef_c1_gg_co2e_head,livestock
pigs_manure_ef_c1_gg_co2e_head,livestock
poultry_manure_ef_c1_gg_co2e_head,livestock
sheep_manure_ef_c1_gg_co2e_head,livestock
water_buffalo_manure_ef_c1_gg_co2e_head,livestock
dual_purpose_fermentation_emissions_c1_gg_co2e,livestock
goats_fermentation_emissions_c1_gg_co2e,livestock
horses_fermentation_emissions_c1_gg_co2e,livestock
meat_cattle_fermentation_emissions_c1_gg_co2e,livestock
milk_cattle_fermentation_emissions_c1_gg_co2e,livestock
mules_fermentation_emissions_c1_gg_co2e,livestock
pigs_fermentation_emissions_c1_gg_co2e,livestock
poultry_fermentation_emissions_c1_gg_co2e,livestock
sheep_fermentation_emissions_c1_gg_co2e,livestock
water_buffalo_fermentation_emissions_c1_gg_co2e,livestock
total_fermentation_emissions_c1_gg_co2e,livestock
dual_purpose_manure_emissions_c1_gg_co2e,livestock
goats_manure_emissions_c1_gg_co2e,livestock
horses_manure_emissions_c1_gg_co2e,livestock
meat_cattle_manure_emissions_c1_gg_co2e,livestock
milk_cattle_manure_emissions_c1_gg_co2e,livestock
mules_manure_emissions_c1_gg_co2e,livestock
pigs_manure_emissions_c1_gg_co2e,livestock
poultry_manure_emissions_c1_gg_co2e,livestock
sheep_manure_emissions_c1_gg_co2e,livestock
water_buffalo_manure_emissions_c1_gg_co2e,livestock
total_manure_emissions_c1_gg_co2e,livestock
dual_purpose_total_value_2016_usd,livestock
goats_total_value_2016_usd,livestock
horses_total_value_2016_usd,livestock
meat_cattle_total_value_2016_usd,livestock
milk_cattle_total_value_2016_usd,livestock
mules_total_value_2016_usd,livestock
pigs_total_value_2016_usd,livestock
poultry_total_value_2016_usd,livestock
sheep_total_value_2016_usd,livestock
water_buffalo_total_value_2016_usd,livestock
ls_total_value_2016_usd,livestock
dual_purpose_val_per_head_2016_usd,livestock
goats_val_per_head_2016_usd,livestock
horses_val_per_head_2016_usd,livestock
meat_cattle_val_per_head_2016_usd,livestock
milk_cattle_val_per_head_2016_usd,livestock
mules_val_per_head_2016_usd,livestock
pigs_val_per_head_2016_usd,livestock
poultry_val_per_head_2016_usd,livestock
sheep_val_per_head_2016_usd,livestock
water_buffalo_val_per_head_2016_usd,livestock
