field,sector,type,normalize_group,no_vary_q,max_val,min_range,max_range
va_industry,all,activity,,,,0.8,1.2
va_livestock,all,activity,,,,0.8,1.2
va_manufacturing,all,activity,,,,0.8,1.2
commercial_df_pj_per_million_gdp,buildings,lever,,,,,
commercial_ef_KT_co2e_per_pj,buildings,parameter,,,,,
commercial_frac_electric,buildings,lever,,,1,,
residential_df_pj_per_hh,buildings,lever,,,,,
residential_ef_KT_co2e_per_pj,buildings,parameter,,,,,
residential_frac_electric,buildings,lever,,,1,,
dry_primary_forest,forest,lever,,,,,
dry_primary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
dry_secondary_forest,forest,lever,,,,,
dry_secondary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
lever_land_use_increase_in_forest_sequestration,forest,lever,,,0.5,,
mangroves_primary_forest,forest,lever,,,,,
mangroves_primary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
mangroves_secondary_forest,forest,lever,,,,,
mangroves_secondary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
moist_primary_forest,forest,lever,,,,,
moist_primary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
moist_secondary_forest,forest,lever,,,,,
moist_secondary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
palm_primary_forest,forest,lever,,,,,
palm_primary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
palm_secondary_forest,forest,lever,,,,,
palm_secondary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
wet_primary_forest,forest,lever,,,,,
wet_primary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
wet_secondary_forest,forest,lever,,,,,
wet_secondary_forest_ef_c1_gg_co2e_ha,forest,lever,,,,,
cal_KT_CO2e_per_million_usd,industry,lever,,,,,
carburo_KT_CO2e_per_million_usd,industry,lever,,,,,
cemento_KT_CO2e_per_KT_prod,industry,lever,,,,,
cemento_KT_prod_per_million_usd,industry,parameter,,,,,
industry_at_large_KT_CO2e_per_million_usd,industry,lever,,,,,
industry_df_pj_per_million_gdp,industry,lever,,,,,
industry_ef_KT_co2e_per_pj,industry,lever,,,,,
industry_frac_electric,industry,lever,,,1,,
vidrio_KT_CO2e_per_million_usd,industry,lever,,,,,
cropland_ef_c1_gg_co2e_ha,land_use,parameter,,,,,
cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
dry_primary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
dry_primary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
dry_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
dry_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
dry_secondary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
dry_secondary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
dry_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
dry_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
grassland_area_ha,land_use,activity,,,,,
grassland_ef_c1_gg_co2e_ha,land_use,parameter,,,,,
grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
lever_land_use_reduction_in_deforestation,land_use,lever,,,1,,
mangroves_primary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
mangroves_primary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
mangroves_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
mangroves_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
mangroves_secondary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
mangroves_secondary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
mangroves_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
mangroves_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
moist_primary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
moist_primary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
moist_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
moist_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
moist_secondary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
moist_secondary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
moist_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
moist_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
other_area_ha,land_use,activity,,,,,
other_ef_c1_gg_co2e_ha,land_use,parameter,,,,,
palm_primary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
palm_primary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
palm_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
palm_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
palm_secondary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
palm_secondary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
palm_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
palm_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
settlements_area_ha,land_use,activity,,1,,,
settlements_ef_c1_gg_co2e_ha,land_use,parameter,,1,,,
wet_primary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
wet_primary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
wet_primary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
wet_primary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
wet_secondary_forest_conv_to_cropland_area_ha,land_use,lever,,,,,
wet_secondary_forest_conv_to_grassland_area_ha,land_use,lever,,,,,
wet_secondary_forest_to_cropland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
wet_secondary_forest_to_grassland_ef_conversion_c1_gg_co2e_ha,land_use,parameter,,,,,
wetlands_area_ha,land_use,activity,,,,,
wetlands_ef_c1_gg_co2e_ha,land_use,parameter,,,,,
without_information_area_ha,land_use,activity,,1,,,
without_information_ef_c1_gg_co2e_ha,land_use,parameter,,1,,,
dual_purpose,livestock,activity,,,,,
dual_purpose_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
dual_purpose_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
dual_purpose_val_per_head_2016_usd,livestock,parameter,,,,,
goats,livestock,activity,,,,,
goats_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
goats_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
goats_val_per_head_2016_usd,livestock,parameter,,,,,
horses,livestock,activity,,,,,
horses_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
horses_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
horses_val_per_head_2016_usd,livestock,parameter,,,,,
lever_livestock_improvement_fermentation_management,livestock,lever,,,0.9,,
lever_livestock_improvement_manure_management,livestock,lever,,,0.9,,
meat_cattle,livestock,activity,,,,,
meat_cattle_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
meat_cattle_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
meat_cattle_val_per_head_2016_usd,livestock,parameter,,,,,
milk_cattle,livestock,activity,,,,,
milk_cattle_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
milk_cattle_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
milk_cattle_val_per_head_2016_usd,livestock,parameter,,,,,
mules,livestock,activity,,,,,
mules_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
mules_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
mules_val_per_head_2016_usd,livestock,parameter,,,,,
pigs,livestock,activity,,,,,
pigs_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
pigs_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
pigs_val_per_head_2016_usd,livestock,parameter,,,,,
poultry,livestock,activity,,,,,
poultry_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
poultry_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
poultry_val_per_head_2016_usd,livestock,parameter,,,,,
sheep,livestock,activity,,,,,
sheep_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
sheep_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
sheep_val_per_head_2016_usd,livestock,parameter,,,,,
water_buffalo,livestock,activity,,,,,
water_buffalo_fermentation_ef_c1_gg_co2e_head,livestock,lever,,,,,
water_buffalo_manure_ef_c1_gg_co2e_head,livestock,lever,,,,,
water_buffalo_val_per_head_2016_usd,livestock,parameter,,,,,
ar_typo_mcf_aguas_alcantarillado_central_con_tratar,waste,parameter,,1,,,
ar_typo_mcf_aguas_alcantarillado_pequenos_con_tratar,waste,parameter,,1,,,
ar_typo_mcf_aguas_alcantarillado_sin_tratar,waste,parameter,,1,,,
ar_typo_mcf_latrinos,waste,parameter,,1,,,
ar_typo_mcf_otros,waste,parameter,,1,,,
ar_typo_mcf_sistema_anaerobico,waste,parameter,,1,,,
ar_typo_mcf_tanque_septico,waste,parameter,,1,,,
ef_rec_alimiento,waste,parameter,,,,,
ef_rec_jardin,waste,parameter,,,,,
ef_rec_madera,waste,parameter,,,,,
ef_rec_panhales,waste,parameter,,,,,
ef_rec_papel,waste,parameter,,,,,
ef_rec_plastico_otros,waste,parameter,,,,,
ef_rec_textil,waste,parameter,,,,,
factor_nonconsum_dom_proteina,waste,parameter,,,,,
factor_nonconsum_ind_proteina,waste,parameter,,,,,
frac_alimiento_rec,waste,lever,,,1,,
frac_ar_aguas_alcantarillado_central_con_tratar,waste,lever,4,1,,,
frac_ar_aguas_alcantarillado_pequenos_con_tratar,waste,lever,4,1,,,
frac_ar_aguas_alcantarillado_sin_tratar,waste,lever,4,1,,,
frac_ar_latrinos,waste,lever,4,1,,,
frac_ar_otros,waste,lever,4,1,,,
frac_ar_sistema_anaerobico,waste,lever,4,1,,,
frac_ar_tanque_septico,waste,lever,4,1,,,
frac_jardin_rec,waste,lever,,,1,,
frac_madera_rec,waste,lever,,,1,,
frac_panhales_rec,waste,lever,,,1,,
frac_papel_rec,waste,lever,,,1,,
frac_plastico_otros_rec,waste,lever,,,1,,
frac_recap,waste,lever,,,1,,
frac_rso_quemado,waste,parameter,,,,,
frac_rso_sdrd,waste,lever,,,1,,
frac_textil_rec,waste,lever,,,1,,
frac_typo_de_sdrd_manejados_rellenos_sanitarios_mcf1,waste,lever,3,1,,,
frac_typo_de_sdrd_manejados_semi_aerobicos_mcf0.5,waste,lever,3,1,,,
frac_typo_de_sdrd_no_categorizados_mcf0.6,waste,lever,3,1,,,
frac_typo_de_sdrd_no_manejados_profundos_vertederos_mcf0.8,waste,lever,3,1,,,
frac_typo_de_sdrd_no_manejados_superficiales_mcf0.4,waste,lever,3,1,,,
gg ch4/tonne rq,waste,parameter,,,,,
ggri_per_bilpib,waste,parameter,,,,,
kg_dbo5_per_capita_per_anho,waste,parameter,,,,,
kg_n2_per_kg_proteina,waste,parameter,,,,,
kg_n2o_per_kg_n,waste,parameter,,,,,
kg_por_persona_proteina_per_anho,waste,parameter,,,,,
lever_waste_target_fraction_recyclable_waste_recycled,waste,lever,,,1,,
lever_waste_target_fraction_waste_sewage_treated,waste,lever,,,1,,
max_ch4_per_dbo,waste,parameter,,1,,,
max_ch4_per_dco,waste,parameter,,1,,,
mcf_ch4_dbo5,waste,parameter,,,,,
residuos_per_capita_per_anho_kg,waste,parameter,,,,,
rso_doc_alimiento,waste,parameter,,1,,0.533333333,1.333333333
rso_doc_industrial,waste,parameter,,1,,0,3.6
rso_doc_jardin,waste,parameter,,1,,0.9,1.1
rso_doc_madera,waste,parameter,,1,,0.906976744,1.069767442
rso_doc_panhales,waste,parameter,,1,,0.75,1.333333333
rso_doc_papel,waste,parameter,,1,,0.9,1.125
rso_doc_plastico_otros,waste,parameter,,1,,0,0
rso_doc_textil,waste,parameter,,1,,0.833333333,1.666666667
rso_k_alimiento,waste,parameter,,1,,0.540540541,1.081081081
rso_k_industrial,waste,parameter,,1,,0.888888889,1.111111111
rso_k_jardin,waste,parameter,,1,,0.6,1
rso_k_madera,waste,parameter,,1,,0.666666667,1.333333333
rso_k_panhales,waste,parameter,,1,,0.6,1
rso_k_papel,waste,parameter,,1,,0.833333333,1.166666667
rso_k_plastico_otros,waste,parameter,,1,,0,0
rso_k_textil,waste,parameter,,1,,0.833333333,1.166666667
sdrd_frac_alimiento,waste,parameter,2,,,,
sdrd_frac_jardin,waste,parameter,2,,,,
sdrd_frac_madera,waste,parameter,2,,,,
sdrd_frac_panhales,waste,parameter,2,,,,
sdrd_frac_papel,waste,parameter,2,,,,
sdrd_frac_plastico_otros,waste,parameter,2,,,,
sdrd_frac_textil,waste,parameter,2,,,,
tonne_rq_gg_em_co2,waste,parameter,,1,,,
tonne_rq_gg_em_n2o,waste,parameter,,1,,,
